price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,ev_yenilendi_mi,ev_yili
313000,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,Shoreline,1,2005
2384000,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,Seattle,0,1921
420000,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,Bellevue,0,1963
550000,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,Redmond,1,1992
490000,2.0,1.0,880,6380,1.0,0,0,3,880,0,Seattle,1,1994
335000,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,Redmond,0,1976
640000,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,Seattle,1,2010
1400000,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,Seattle,1,1988
588500,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,Sammamish,0,1980
365000,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,Seattle,1,2009
1200000,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,Seattle,1,1969
419000,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,Bellevue,0,1956
367500,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,Auburn,0,1997
750000,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,Seattle,0,1923
435000,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,Bellevue,1,1979
626000,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,Seattle,0,2005
495000,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,Seattle,1,1989
285000,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,Federal Way,0,1987
615000,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,Seattle,0,1948
698000,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,Kirkland,0,1920
675000,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,Issaquah,1,2014
790000,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,Seattle,1,1999
382500,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,Kirkland,0,1967
499950,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,Woodinville,1,2003
650000,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,Seattle,1,2010
625000,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,Shoreline,0,2014
400000,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,Auburn,1,2014
604000,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,Federal Way,0,1995
440000,2.0,1.0,800,4850,1.0,0,0,4,800,0,Seattle,0,1944
750000,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,Seattle,1,2009
260000,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,Renton,0,1974
308500,2.0,1.0,850,6174,1.0,0,0,4,850,0,Shoreline,1,1983
439950,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,Seattle,1,2009
235000,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,Seattle,0,1949
315000,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,Woodinville,1,1997
437500,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,Issaquah,0,1977
407500,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,Renton,0,1996
445700,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,Seattle,0,2001
838000,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,Redmond,0,2001
630000,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,Issaquah,0,2000
550000,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,Sammamish,1,2014
805000,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,Seattle,0,1929
430000,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,Bellevue,1,1979
491500,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,Auburn,1,1997
385000,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,Seattle,0,2008
295000,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,Seattle,0,2009
625000,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,Renton,0,2007
625000,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,Renton,1,1912
553000,2.0,1.0,900,5000,1.0,0,0,3,900,0,Seattle,0,1944
379880,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,Issaquah,0,1986
775000,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,Redmond,1,2003
365000,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,Renton,0,1988
331950,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,Auburn,1,2009
783500,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,Seattle,0,1980
628000,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,Seattle,1,2005
560000,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,Sammamish,1,2000
900000,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,Kirkland,1,1954
531000,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,Seattle,0,2000
831000,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,Seattle,1,2011
780000,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,Sammamish,0,1996
755000,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,Bellevue,1,2001
705380,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,Issaquah,0,2003
627000,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,Issaquah,1,2013
865000,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,Sammamish,1,2006
580000,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,Seattle,0,1942
410000,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,Issaquah,1,2000
485000,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,Kirkland,0,1979
400000,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,Shoreline,0,1948
549000,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,Seattle,0,1908
620000,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,Kirkland,0,2005
405000,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,Seattle,0,2006
800866,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,Kirkland,0,1990
650000,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,Seattle,1,1985
823000,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,Seattle,0,1908
770000,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,Seattle,1,1989
524000,3.0,1.75,1560,5520,1.0,0,0,4,780,780,Seattle,0,1944
541125,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,Bellevue,1,2001
670000,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,Seattle,1,1998
384900,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,Federal Way,1,1997
406100,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,Seattle,0,2005
1395000,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,Seattle,0,1971
736500,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,Renton,0,2000
570000,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,Redmond,0,1975
787000,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,Bellevue,1,2004
328000,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,Auburn,1,2006
435000,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,Seattle,1,1958
501000,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,Bellevue,1,2008
1090000,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,Redmond,0,1992
400000,2.0,1.0,840,5510,1.0,0,0,3,840,0,Seattle,1,2005
220000,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,Federal Way,0,1971
657100,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,Seattle,1,2011
525888,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,Issaquah,0,1960
740000,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,Seattle,0,1902
340000,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,Kirkland,0,1962
398750,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,Seattle,1,2005
1030000,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,Bellevue,0,1976
600000,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,Sammamish,1,1992
379950,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,Shoreline,0,1960
